,,Sum hours ,$ / hour,$,VWAP XTZUSD,XTZ,missing,XTZ
amzid,2,2,70,140,3.76145377668336,37.2196518452087,,37.2196518452087
dansan,1,1,70,70,3.76145377668336,18.6098259226044,139.554445,158.164270922604
denver-s,0.5,10,70,700,3.76145377668336,186.098259226044,,186.098259226044
denver-s,0.5,,,,,,,
denver-s,1,,,,,,,
denver-s,8,,,,,,,
ericlavoie,1.5,15,70,1050,3.76145377668336,279.147388839065,,279.147388839065
ericlavoie,1,,,,,,,
ericlavoie,1.5,,,,,,,
ericlavoie,2,,,,,,,
ericlavoie,1,,,,,,,
ericlavoie,2,,,,,,,
ericlavoie,3,,,,,,,
ericlavoie,1,,,,,,,
ericlavoie,0.5,,,,,,,
ericlavoie,0.5,,,,,,,
ericlavoie,1,,,,,,,
jdsika,1,61.5,70,4305,3.76145377668336,1144.50429424017,,1144.50429424017
jdsika,32,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,4,,,,,,,
jdsika,0.5,,,,,,,
jdsika,12,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,1,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,1,,,,,,,
jdsika,2,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,0.5,,,,,,,
jdsika,1,,,,,,,
Pea-skillz,1.5,5,70,350,3.76145377668336,93.0491296130218,,93.0491296130218
Pea-skillz,0.5,,,,,,,
Pea-skillz,0.5,,,,,,,
Pea-skillz,1,,,,,,,
Pea-skillz,1.5,,,,,,,
utdrmac,2,12.5,70,875,3.76145377668336,232.622824032554,,232.622824032554
utdrmac,4,,,,,,,
utdrmac,4,,,,,,,
utdrmac,0.5,,,,,,,
utdrmac,2,,,,,,,
vkresch,6,28,70,1960,3.76145377668336,521.075125832922,,521.075125832922
vkresch,0.5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,0.5,,,,,,,
vkresch,1,,,,,,,
vkresch,7,,,,,,,
vkresch,3,,,,,,,
vkresch,1,,,,,,,
vkresch,1,,,,,,,
