GitHub Username, Tezos Address, Comment
habanoz, tz1PJnnddwa1P5jg5sChddigxfMccK8nwLiV, Created the TRD and published it as open source
jdsika, tz1N4UfQCahHkRShBanv9QP9TnmXNgCaqCyZ, Coordinates work items plus roadmap and releases
amzid, tz1LoTL8wi6ZGrGozYdtoBVQ6UcN6vkm1Lnj, Core developer who made the first Tezos RPC implementation and more
utdrmac, tz1Sr7G7aSDE5REnvAYB5kR4iLRRVgkEypH9, Core developer with countless ideas and features
SemElVik ,tz2QXhoLqLJn1CeLUDUjYxDP24RTFXKzTB2E, Always there for valuable feedback
m-kus , tz..., Contributed the TzKT API
dansan566 , tz1Q86tz2HeTL6iwHVcYe7nGUN4zSU545nWf, Focusses on documentation in addition to feedback and reports
vkresch, tz2JrnsSXPkN3QHKsYm1bGijwVHc1vFaR5kU, Focus on CI/CD testing and software quality integrating FSM
nicolasochem, tz1RcaZ9HyGkDRx6cB1y8ViZpcMkbovaprtx, General application review and integration of Baeckerei features
denver-s, tz1XhZUHsJAFp4FHoeeQQ7auVBk5j6xoUKbS, Documentation and testing and improvements
sebuhbitcoin, tz1R664EP6wjcM1RSUVJ7nrJisTpBW9QyJzP, Documentation and testing and improvements
ericlavoie, tz1ekt9uG1SdHQ6dc175uANbFPgbMM5iciGq, Core developer - helping out where I can
pea-io, tz1SmKMNx1ofhnDwJADJGpqhn4BYJN6s1YWY, Contributed to the Docker image
NeoktaLabs, tz1UvkANVPWppVgMkLnvN7BwYZsCP7vm6NVd, Contributed to testing of TRD
redref, tz3Vq38qYD3GEbWcXHMLt5PaASZrkDtEiA8D, Contributed to dry-run mode without signer
AndrewKishino, tz1fjKdLbaRf8npmXcwoQhXwXhvCtniH6Fz3, Contributed to general improvements
Vlad1mir-D, tz1QT1phS5RpoJWyyd71e2foFFxhFogFRneK, Contributed to general improvements
rvermootenct, tz29gG6iKAr5SCC8AV28zvDoGa2PyEk41Bnd, general improvements and paying tech-debt
