address	type	balance	ratio	fee_ratio	amount	fee_amount	fee_rate	payable	skipped	atphase	desc
tz1TzaNn7wSQSP5gYPXCnNzBCpyMiidCq1PX	B	19062414157234.0	1.000000	0.000000	11319669235.000000	0.000000	0.000000	0	0	-1	Baker
KT1N3nnK2Ui1LYUpQhyMgubkrv4Kypav8E2Q	D	5008458844284	0.2443482073	0.0183918005	2765940884.000000	208189099.000000	0.070000	1	0	-1	None
KT1C4M9nb6P8N3amzPU9fMSPgEYfrc1JH7bN	D	2090839998762	0.1020060304	0.0076778733	1154674525.000000	86910986.000000	0.070000	1	0	-1	None
KT1J7PACVgp9hYYB6eNZxUsuivssd5gmSfwk	D	1333620272768	0.0650634722	0.0048972506	736496985.000000	55435257.000000	0.070000	1	0	-1	None
KT1FsT9kf6aqAkvEPXYJzjgvrP3EyNHLwANa	D	529962963382	0.0258553587	0.0019461023	292674109.000000	22029234.000000	0.070000	1	0	-1	None
KT1NKxDmKnnLbG1D9HUiedZPWhbduca21bXo	D	525261768271	0.0256260010	0.0019288388	290077855.000000	21833817.000000	0.070000	1	0	-1	None
KT1Xa7sapcuAoSFKbSnd5qfU3B5UrNqf6K28	D	516362206160	0.0251918171	0.0018961583	285163037.000000	21463885.000000	0.070000	1	0	-1	None
KT1HSVbVmY1A8mmtHhS2ZJ18eZZbMe7u92CS	D	239997904844	0.0117088030	0.0008813078	132539777.000000	9976112.000000	0.070000	1	0	-1	None
KT1Mciiws3VjJRvWYbDaJeB23LnGxesK9v7u	D	220252697311	0.0107454915	0.0008088004	121635409.000000	9155353.000000	0.070000	1	0	-1	None
KT1HKP4w5ScBhrbTta1BMy1btz3d7Li3UoPC	D	162143664284	0.0079105200	0.0005954155	89544469.000000	6739906.000000	0.070000	1	0	-1	None
KT1LZgvYGYyfzD79KDz1uPrQwSBZQprgXzXt	D	134999675291	0.0065862433	0.0004957387	74554096.000000	5611599.000000	0.070000	1	0	-1	None
KT1KK3JHt1kS16meHiG3HGPEExtRj87ppYrN	D	132162577431	0.0064478295	0.0004853205	72987298.000000	5493668.000000	0.070000	1	0	-1	None
KT1NVfNyhA8wPP33K7gyxq7M73SpGpakWKEC	D	127639292704	0.0062271516	0.0004687103	70489296.000000	5305646.000000	0.070000	1	0	-1	None
KT1QGR4SFyLM7P2e8RG1DwH7ckNvjnN3iqUX	D	126069919310	0.0061505864	0.0004629474	69622603.000000	5240411.000000	0.070000	1	0	-1	None
KT1VpYxf48w8xDZbVhfVB9ym1P8raQuYNKB5	D	125435478365	0.0061196338	0.0004606176	69272231.000000	5214039.000000	0.070000	1	0	-1	None
KT1Hn7g2wYPn7SAczcqEij3TnviJpsokgNQe	D	122832698580	0.0059926518	0.0004510598	67834836.000000	5105848.000000	0.070000	1	0	-1	None
KT1EzomeuiCKzi6PTAWGi7KHKXnZqAz5WqUF	D	120107655860	0.0058597048	0.0004410531	66329920.000000	4992575.000000	0.070000	1	0	-1	None
KT1DSgkSVus9a2dbceETBGXv3UAPePSsqzH4	D	115859290961	0.0056524394	0.0004254524	63983744.000000	4815981.000000	0.070000	1	0	-1	None
KT1TKmucc5nAxV4nNzxgrjUsFJLqyibScRRn	D	115398894517	0.0056299780	0.0004237618	63729489.000000	4796843.000000	0.070000	1	0	-1	None
KT1A2WC8uKKaJLpFuS9wMQHLn1P68KU5FuW2	D	112145888728	0.0054712732	0.0004118163	61933003.000000	4661624.000000	0.070000	1	0	-1	None
KT1AJCnVn556pT5gLLuqaZxKNBaZNqtbhXEf	D	100806868051	0.0049180753	0.0003701777	55670985.000000	4190289.000000	0.070000	1	0	-1	None
KT1NaaeWhti2iCAqgERrJM3VdNs1o4aGUhrp	D	100028039763	0.0048800785	0.0003673177	55240874.000000	4157915.000000	0.070000	1	0	-1	None
KT1SHEs3ktk6XB3xoTPz9EhtoSHrYDrdeXNN	D	98866977585	0.0048234336	0.0003630541	54599673.000000	4109653.000000	0.070000	1	0	-1	None
KT1MFzpV9xpKc6jy92wqR4MCjiA81dQLP12Y	D	94498846117	0.0046103251	0.0003470137	52187355.000000	3928081.000000	0.070000	1	0	-1	None
KT1Hj8YuL4tX2NmY12YPiWeVsd7Bit1SAsze	D	94316579482	0.0046014329	0.0003463444	52086698.000000	3920504.000000	0.070000	1	0	-1	None
