address	type	balance	ratio	fee_ratio	amount	fee_amount	fee_rate	payable	skipped	atphase	desc
tz1aWXP237BLwNHJcCD4b3DutCevhqq2T1Z9	B	1596986467205.9998	1.000000	0.000000	1313500000.000000	0.000000	0.000000	0	0	-1	Baker
KT1KgxZTrMLnhtpym3bRaJ4fwBmmgF3JTGtX	D	4118308061	0.0024627536	0.0001160460	3234827.000000	152426.000000	0.045000	1	0	-1	None
KT1V2vrmFRzpMg5ZrH8PtERkirbfidvHKDFt	D	4117034026	0.0024619917	0.0001160101	3233826.000000	152379.000000	0.045000	1	0	-1	None
KT1CYkGpXv8kMhdB8tNUPMbcv4Hu1BVLbH1L	D	4115476874	0.0024610606	0.0001159662	3232603.000000	152322.000000	0.045000	1	0	-1	None
KT1NAxt8ATeXnDkJTT7RVxP2hQApVfsmjqkJ	D	4090000000	0.0024458254	0.0001152483	3212592.000000	151379.000000	0.045000	1	0	-1	None
KT1ChmvxkXEnVg5hXt1P9sLQAWPbKPp4yg4o	D	4026439062	0.0024078158	0.0001134573	3162666.000000	149026.000000	0.045000	1	0	-1	None
KT1EqGcFU5aXPwf9dQADRw16W8GaMads3BhQ	D	4026439062	0.0024078158	0.0001134573	3162666.000000	149026.000000	0.045000	1	0	-1	None
KT1QCGrGoxUNSGvnKGJ3pyrqAdEq8mBjpHKM	D	4026439062	0.0024078158	0.0001134573	3162666.000000	149026.000000	0.045000	1	0	-1	None
KT1XbJF1wwkMQR37PT2FcypLYNizYhqoHRE4	D	4026439062	0.0024078158	0.0001134573	3162666.000000	149026.000000	0.045000	1	0	-1	None
KT1Eh8nH78n5wo8skCwRfvGqdQuQARtMgVQ1	D	3714389739	0.0022212099	0.0001046643	2917559.000000	137477.000000	0.045000	1	0	-1	None
KT1FJHk8uNP9ftjwoWsVJSq5xzPH74Uq8cEP	D	3714389739	0.0022212099	0.0001046643	2917559.000000	137477.000000	0.045000	1	0	-1	None
KT1KmDA76v6SSp5nSGafZuRX7T1xB9jzUW3Y	D	3714389739	0.0022212099	0.0001046643	2917559.000000	137477.000000	0.045000	1	0	-1	None
KT1UaZ31ETPu7rEYUMDt31o34eagqVMwZQiB	D	3714389739	0.0022212099	0.0001046643	2917559.000000	137477.000000	0.045000	1	0	-1	None
KT18g6vrE39KDW85jJa9LBTDGyUT1MHJfvnc	D	3643926988	0.0021790731	0.0001026788	2862213.000000	134869.000000	0.045000	1	0	-1	None
KT1CzvroVffvb5Tn86UeKLoqDYprgV58gQiB	D	3643926988	0.0021790731	0.0001026788	2862213.000000	134869.000000	0.045000	1	0	-1	None
KT1GNSHhoKk1HGFhBEaBreTEzBecbCDwbcW7	D	3643926988	0.0021790731	0.0001026788	2862213.000000	134869.000000	0.045000	1	0	-1	None
KT1TTS7mpF7sG44ssdeFa9683sKe3752nAh3	D	3643926988	0.0021790731	0.0001026788	2862213.000000	134869.000000	0.045000	1	0	-1	None
KT19MGKU3a2F9qJfFbJmr9idEtA55D5E32xG	D	3422472629	0.0020466431	0.0000964387	2688266.000000	126672.000000	0.045000	1	0	-1	None
KT1HRXsN6KEp5uXnzYVi1fLfftSs54Q3BNhv	D	3422472629	0.0020466431	0.0000964387	2688266.000000	126672.000000	0.045000	1	0	-1	None
KT1QAFT4xFxEBjQx4JzhocVJx6eec5zSpDjf	D	3422472629	0.0020466431	0.0000964387	2688266.000000	126672.000000	0.045000	1	0	-1	None
KT1XQiuAkU2nKKw32yrERicesVUpJnrWayHf	D	3422472629	0.0020466431	0.0000964387	2688266.000000	126672.000000	0.045000	1	0	-1	None
KT1GczctnRY5QpdHniU6FNNFTtV7h3MbuyQ6	D	3412406522	0.0020406236	0.0000961550	2680359.000000	126300.000000	0.045000	1	0	-1	None
KT1M7B8vdk4x9nGXPrac4wFrMsU8dfH3pc7g	D	3412406522	0.0020406236	0.0000961550	2680359.000000	126300.000000	0.045000	1	0	-1	None
KT1NNuEuwen9wK3AUjmxLaC6gt12tSx54de1	D	3412406522	0.0020406236	0.0000961550	2680359.000000	126300.000000	0.045000	1	0	-1	None
KT1VqKX1MKutctZDuU4eq3b6DH6werSPVb7p	D	3412406522	0.0020406236	0.0000961550	2680359.000000	126300.000000	0.045000	1	0	-1	None
KT1CtaoGZ3mg6KUSMxdFFZqAQtETkfaJCAk1	D	3231216591	0.0019322718	0.0000910495	2538039.000000	119593.000000	0.045000	1	0	-1	None
KT1KQ1nNLDBV6KKJjfkgc7tjUCjGXSAijr8s	D	3231216591	0.0019322718	0.0000910495	2538039.000000	119593.000000	0.045000	1	0	-1	None
KT1Qmw41dUcQBjKHdLRXbaGFdNm8athzjXPa	D	3231216591	0.0019322718	0.0000910495	2538039.000000	119593.000000	0.045000	1	0	-1	None
KT1Ryf2uhp42ePVDZSjxJ4JhZ5PzD5Lz6Kr1	D	3231216591	0.0019322718	0.0000910495	2538039.000000	119593.000000	0.045000	1	0	-1	None
KT1FxMM63w6HJ25cYpS7SMrMAbZrUC3NP6yy	D	3211084378	0.0019202327	0.0000904822	2522226.000000	118848.000000	0.045000	1	0	-1	None
KT1PJHSY9ms9bLEApNpiWvVJMeznTBWpYYuj	D	3211084378	0.0019202327	0.0000904822	2522226.000000	118848.000000	0.045000	1	0	-1	None
KT1Wys6Ta4Qrs2m3RWByhUZZ8cuva3psaN8S	D	3211084378	0.0019202327	0.0000904822	2522226.000000	118848.000000	0.045000	1	0	-1	None
KT1XYZm3FvxgBZB4juutTbmBg2gy9N755nEL	D	3211084378	0.0019202327	0.0000904822	2522226.000000	118848.000000	0.045000	1	0	-1	None
KT1ChT7Zvky9maqhvSBLUUh6dAAxP1eJSwek	D	2717845123	0.0016252749	0.0000765836	2134799.000000	100593.000000	0.045000	1	0	-1	None
KT1MR8dPrigW1yqmNShAo2a812A61t1WfeJg	D	2717845123	0.0016252749	0.0000765836	2134799.000000	100593.000000	0.045000	1	0	-1	None
KT1QkupK3xbP4hjYG42KkMge1LVNS1cw9f1K	D	2717845123	0.0016252749	0.0000765836	2134799.000000	100593.000000	0.045000	1	0	-1	None
KT1QvxSaZQGw1wkBJhTCNRuJ6jEPPBstgszt	D	2717845123	0.0016252749	0.0000765836	2134799.000000	100593.000000	0.045000	1	0	-1	None
KT1DPXPT92TaqoKgMrrsXNAQUmCkVnTm8XP2	D	2707779017	0.0016192554	0.0000763000	2126892.000000	100220.000000	0.045000	1	0	-1	None
KT1Fvxk6aJXq7o4hg99VKUqnmyv1JBKdWLYd	D	2707779017	0.0016192554	0.0000763000	2126892.000000	100220.000000	0.045000	1	0	-1	None
KT1QfgnSvSuF4xmLZ9cdXi8zy13QM9BXukzD	D	2707779017	0.0016192554	0.0000763000	2126892.000000	100220.000000	0.045000	1	0	-1	None
KT1SsvctCZqqHd6GZquXMFppqFHDzGrBciwN	D	2707779017	0.0016192554	0.0000763000	2126892.000000	100220.000000	0.045000	1	0	-1	None
KT1EHdnrAhyGU3DN7w7AP7ZbqNGQkcDvwnUp	D	2667514587	0.0015951772	0.0000751654	2095265.000000	98730.000000	0.045000	1	0	-1	None
KT1H4k5mKL4npdZZvfAWMhC53WPtbyKfJokA	D	2667514587	0.0015951772	0.0000751654	2095265.000000	98730.000000	0.045000	1	0	-1	None
KT1NHzp8jjELZJn9ezPkQW3pTNHtHaWpPU46	D	2667514587	0.0015951772	0.0000751654	2095265.000000	98730.000000	0.045000	1	0	-1	None
KT1NLZetC844tFM7sgNzWeVYtfJ9uqPmWmRk	D	2667514587	0.0015951772	0.0000751654	2095265.000000	98730.000000	0.045000	1	0	-1	None
KT1FhebwtB4Mhpn1o1vAQNTjr9Ef6qgDFkyB	D	2305134728	0.0013784736	0.0000649543	1810625.000000	85317.000000	0.045000	1	0	-1	None
